"V1","Demeaned series  cpi_all_mom","Constructed series  cpi_all_mom","Cumulative effect of  oil_USD shock on  cpi_all_mom","Cumulative effect of  imp_price_mom shock on  cpi_all_mom","Cumulative effect of  miacr_31 shock on  cpi_all_mom","Cumulative effect of  neer_mom shock on  cpi_all_mom","Cumulative effect of  gdp_per_cap_SA shock on  cpi_all_mom","Cumulative effect of  cpi_all_mom shock on  cpi_all_mom"
1,0.0006272157396899,-0.00184370644725854,-0.000211825633865467,0.000316737647626804,-0.000367236848846667,9.64470067877649e-05,-0.00107149278390344,-0.000606335835057537
2,-0.000317833722922331,-0.00391303992638726,-0.000886259501938845,0.000266313193646241,-0.000812291710965951,0.000798417377531476,-0.00209241049509454,-0.00118680878956564
3,0.00068171462183619,-0.00286430583968732,-0.00145111818630888,0.000418479131254283,-0.00145627561168751,0.00172919933822656,-0.00108346358565726,-0.00102112692551452
4,0.000772571245490529,-0.00200464938394459,-0.00134268504675428,0.00140230322562085,-0.00138843714175485,0.00120916195726675,-0.00163972283960288,-0.00024526953872018
5,0.00159772567547145,-0.00076432616465593,-0.000592175700928247,0.00147108553784636,-0.000144505294643112,-0.000626786251123923,-0.000972716333198001,0.000100771877390995
6,0.00169669655316791,-0.000503134419856977,2.56114836849239e-05,0.00081452984299269,0.000735928308361984,-0.00197916537235776,-0.000325372230892414,0.000225333548353598
7,0.00575213499234262,0.00413130318547461,-6.8220231082229e-05,0.000431068996812017,0.000609518285752606,-0.00178251256979828,0.00469107883049277,0.000250369873297723
8,0.00534027649025702,0.00424796831833342,-0.000334276886384539,0.000584472921414001,-0.000192410849745608,-0.0011247163222189,0.0052726971278846,4.22023273838652e-05
9,0.00071263576702868,-0.000228276339848634,-0.00067451805614636,0.000864285438419342,-0.000512262795710191,-0.00118452926486903,0.00118694291390033,9.18054245572762e-05
10,-0.00180161737629393,-0.00265807595411594,-0.000844631927865873,0.000203807307661388,-0.000735071090210137,-0.000891119731751172,-0.000531328730355733,0.000140268218405586
11,-0.0002347267363671,-0.000979625961033325,-0.000473320713699643,-0.000154861705228812,-0.00135840901368475,6.10046647577921e-05,0.000974611886829446,-2.86510800073533e-05
12,-0.0014714311435516,-0.00216514377902904,-0.000198176940134626,7.5269774672725e-05,-0.00178765899429427,0.000444143069372866,-0.000804093484544771,0.000105372795899035
13,0.00248628459371017,0.00190537270757585,-0.000196437358278897,0.00039550650396842,-0.000760082583147629,-0.000246692780732468,0.00250999062420581,0.00020308830156061
14,0.00265674235833606,0.00220451207865453,0.000288967110066668,-0.000165528934243198,-0.000497191186704921,-0.00125609207216264,0.00378400956018447,5.03476015141507e-05
15,-0.00118112414208717,-0.00165944129533596,0.00112145420313368,-0.000547151814042098,-0.00055079946465047,-0.00194607759722466,0.000344663656233182,-8.15302787855928e-05
16,-0.00214564204691218,-0.00268189805053277,0.00139636066127712,-7.28328579658816e-06,-0.00100485051267783,-0.00198173797172275,-0.00122584751617835,0.000141460574565633
17,0.00046349550424932,-4.39668424582725e-05,0.00124020079082945,3.8733890908481e-05,-0.000186359491040708,-0.00148268478148756,0.000441794750786673,-9.5652002454605e-05
18,0.00148395504866324,0.000956796378295244,0.00140963604898575,-0.000364041195424605,-3.99712117484493e-05,-0.00114632658828198,0.00204000668002131,-0.000942507355256786
19,-0.0012044990504256,-0.00179230315072531,0.00113895093673736,-0.000277960010248886,-0.000599236572174249,-0.00120613663958702,-0.0002509715285185,-0.000596949336934007
20,0.000506529230679649,-3.60619825909957e-05,0.000575222897894998,0.000165266308229722,-0.00018480086068021,-0.00123968593115336,0.000708057879427981,-6.01222763101252e-05
21,-0.00135798868328357,-0.00183146697688199,0.000569965327552174,-0.000168179071151407,0.000103171792884361,-0.00113812793185456,-0.000730968806611738,-0.000467328287700822
22,0.00040098295469507,-7.21750243322508e-05,0.000558489766001289,-0.000549781674810589,0.000212466673251121,-0.000724473092891996,0.00131413144604574,-0.000883008141927814
23,0.00107005992411743,0.000651557992824082,5.65374242522244e-05,-0.000441588235001052,-0.000358938842051032,8.67774320738419e-05,0.00142755557890645,-0.000118785365356347
24,0.00495124808334772,0.0046536869473658,-0.000168433150208038,-9.76711769001078e-05,-0.000285403504719013,0.00045427194723742,0.00429984640690434,0.000451076425051194
25,0.00444147638926612,0.00420630443905971,0.000219511278168902,-2.81174583737431e-05,-0.000403034272451924,0.000123031387661024,0.00418546525581232,0.000109448248243138
26,0.00145544107712087,0.00127969464863245,0.000284452137064117,-0.000506020322713127,0.000524403529566098,-0.000263660339002869,0.00095100481987371,0.000289514823844523
27,0.00540044114302692,0.00535880882461516,1.1562917595622e-06,2.99269429805517e-05,0.00183492429295473,-0.0003095916110533,0.0026944593236722,0.00110793358430142
28,0.0110757450261463,0.0111357972446836,-4.73329892059366e-05,-0.000120246308305186,0.00308840015517481,-0.000157302776466692,0.00721851227867961,0.00115376688480702
29,0.00639468253301332,0.00649864172175603,-7.57795096158441e-05,-0.000502271310683488,0.00253253233500191,-0.000135597548196431,0.00406335649940687,0.000616401255843009
30,0.00497999040146382,0.00517104684938399,-0.000700101777712756,-0.000417287857222427,0.00193579451564106,0.000286705022512285,0.00314290831421005,0.000923028631955783
31,0.00553662374214582,0.00581350284723217,-0.000642083166393603,-0.00010664980786391,0.000698493940976903,0.00130101191030476,0.00372639340669507,0.00083633656351295
32,0.0019321522354706,0.00221704642296285,9.56559322007688e-05,-0.000587570888581106,0.000539600635977175,0.00198844590155271,-0.000119853097491408,0.000300767939304704
33,0.00464419276978242,0.00493976129622093,0.000255041001289605,-0.000768645191240877,0.000513040803136253,0.00242325598577554,0.00262815757845793,-0.000111088881197525
34,0.00871058444674512,0.00904345129789093,-0.000280467560162026,-0.000618646210681492,0.000631481322059571,0.00246905961534758,0.00647652669557367,0.000365497435753619
35,0.00800538227071522,0.00831395698777618,-0.000730484369247106,-0.000253861189002108,0.000324418465150388,0.00222843295242306,0.00694880984333508,-0.000203358714883133
36,0.00502323262196672,0.00527627633704805,-0.00126370477158561,-0.000739988633834106,0.000788934411097239,0.00239726294566193,0.00532795900416174,-0.00123418661845314
37,0.00085969003783335,0.00109601984161615,-0.00196702492521356,-0.00145706813878332,0.000585521574404915,0.00321989395371861,0.00192920667558897,-0.00121450929809947
38,0.00381613007726233,0.0040135386206695,-0.00171529910750797,-0.000937870852274773,0.000203611760278408,0.0039196185447296,0.002536946109415,6.53216602923638e-06
39,0.00524614930223722,0.00536024163679259,-0.000689426738371076,-5.86703745232702e-05,-0.00025251825403918,0.00319483753974115,0.00299314689640431,0.000172872567580656
40,0.00400009986282742,0.00406544115115212,0.000611935907326017,-0.000492698424239926,0.000487046151385934,0.000243120786170643,0.00276099219879456,0.000455044531714892
