"Period","Global persistent shock to oil price","Global demand shock to oil price","Monetary shock to oil price","Exchange rate shock to oil price","Supply shock to oil price","Demand shock to oil price","Global persistent shock to import prices","Global demand shock to import prices","Monetary shock to import prices","Exchange rate shock to import prices","Supply shock to import prices","Demand shock to import prices","Global persistent shock to interest rate","Global demand shock to interest rate","Monetary shock to interest rate","Exchange rate shock to interest rate","Supply shock to interest rate","Demand shock to interest rate","Global persistent shock to exchange rate","Global demand shock to exchange rate","Monetary shock to exchange rate","Exchange rate shock to exchange rate","Supply shock to exchange rate","Demand shock to exchange rate","Global persistent shock to GDP per cap.","Global demand shock to GDP per cap.","Monetary shock to GDP per cap.","Exchange rate shock to GDP per cap.","Supply shock to GDP per cap.","Demand shock to GDP per cap.","Global persistent shock to inflation rate","Global demand shock to inflation rate","Monetary shock to inflation rate","Exchange rate shock to inflation rate","Supply shock to inflation rate","Demand shock to inflation rate"
1,0.102442660899167,-1.22762465402324e-05,2.5663222820286e-06,-2.39351717657054e-05,5.06805879293672e-05,1.49642714760797e-06,0.00114503966724902,0.00984452890352972,6.68044979021368e-05,2.36813037295639e-05,0.000748510720192081,0.000118004405260114,-0.00195792380683678,-0.000284856954506742,0.0126929878260269,1.05097377284911e-05,0.000141102456750368,6.33337172300584e-05,-0.00744655663113759,-0.000226482782979354,0.00275040767699717,0.0238605617278887,7.8149611953516e-05,6.95367487016753e-06,2.86001878025371e-06,-8.66376031883852e-05,5.93509176061467e-05,9.22208374594768e-05,-0.000110193424205229,-0.000461056247040495,-0.000260195680988784,-0.000104481675566986,0.000664663836029169,0.000495523100293305,0.00209107587382894,-0.000392136358335576
2,0.0145560819473052,0.0148081683990706,-0.00974045403186838,-0.0133640460923148,0.00734873620204149,-0.000819860757238122,0.00227540282235355,0.000813864940868317,-0.000597026653660804,0.00282401137107778,-0.00033383531373034,6.80842368411751e-05,-0.00550747486791104,-0.00172766730926899,0.00970424693865802,0.000848361834333826,0.000817546926296926,0.000201727803470497,-0.00653605716491336,0.00167031690143158,0.00422535869134421,0.010941636616098,0.00363449500390022,-0.00284665374216794,0.000395208144460809,-5.67022955831577e-05,3.03866326781403e-05,2.60744036048277e-05,-0.000106966108463173,-0.000610633803867094,-0.000552788412034341,-2.051572498659e-05,0.000806031304008053,0.00136321753186421,0.00151148172944094,-0.000499453194162381
3,-0.0101096465862908,0.00525244472515551,-0.0133486926781466,0.0168836377687498,-0.00775540811294715,-0.0182297077589393,0.00370613501448391,-0.000213965605962945,-0.000543821861652383,-0.00118040189844189,-0.000637675711558495,-0.00128416750197355,-0.00732009574355248,-0.00313675802427872,0.0111532131416192,0.000858497542846135,-0.000568685714049269,0.00114625163256679,-0.00339421733807331,-0.00109286405756134,0.00102130914893299,-0.000892096649933081,-4.89604175079255e-05,-0.00183867520679412,0.000443817719294565,2.35480124137786e-05,-9.18067104281828e-05,-7.43142702649064e-05,-7.91376089344176e-05,-0.000449825897449963,-0.000607623938493331,-0.000157613933067784,0.000830577286106372,0.0014009277318836,0.000721788380925325,-0.000236392055299991
4,-0.0163053990909051,-0.00145475692308069,-0.00473229396456208,0.0047107851770038,0.00363852022392384,-0.0175803343857822,0.000129267310446838,0.0016655341810561,-0.00181949289033678,-0.0010764080763919,0.000193064111564272,-0.00189657114560858,-0.0069302252394145,-0.00250125955693451,0.00976810342377594,-0.00111972845316471,3.266553022107e-05,0.00342525009623212,0.00192274378370492,-0.00167402546812613,-0.00259417976621537,-0.00639268475784381,-0.00237499578235124,0.00397314404610692,0.000208611001839173,-3.22883247277441e-05,-0.000160767647915249,3.13633100310913e-05,-0.000141401815548549,-0.000703169348266543,-0.000462774409839065,-0.000358336754046378,0.000239513703790675,0.000892939306656938,0.000463652216701236,-1.20858289821414e-05
5,-0.00602850907787498,-0.000510566883385375,0.0045934825633891,0.00895161941878366,0.00300123092218511,-0.00976716973375475,-0.000160868285591026,0.000995675729214632,-0.00119572072069291,-0.000311990427028195,0.000438357895030848,-0.00110935165484124,-0.00547612698133704,-0.00156952656841948,0.00928228002231471,0.00077376091211694,0.000466882663367564,0.00519007147965097,0.00203450343650838,-0.00204289320785417,-0.00323934652734948,-0.00661641151227284,-0.00136751050036419,0.0043542457552018,0.00023397028491755,-6.26097559210741e-05,-0.00021744870825716,3.41004263003648e-05,-0.00015570065003917,-0.000916366848006616,-0.000191249022687357,-0.000292120216308262,0.000122469205252395,0.000416594132293764,0.000576229844551158,-9.26832961477006e-05
6,-0.00262196570654427,-0.00267378832700122,0.0063444785659388,0.00524378851693018,0.00201027105080214,-0.0164076781835704,0.000106965293817927,-0.000431552690859305,-0.000344275395997032,0.000143690850238942,0.000255261276199827,-0.0014830082014663,-0.00435552560118838,-0.00112812326067608,0.00874088582247667,0.00120122580811869,0.00106815541430189,0.00595566218766615,0.00166202347104167,-0.000161723966723936,-0.00155520762272574,-0.00277324346707479,0.000314313316676335,0.00128221607908212,0.000327765113553055,1.46420873183729e-05,-0.000299502577169842,-6.70669593334052e-05,-0.000116759292081898,-0.000658618020514876,6.27985342692028e-05,-0.000140657048934227,-6.02547101544602e-06,0.000177661352485474,0.000616838727005201,1.71983736162161e-05
7,0.00766981830409051,-0.00652355628478314,0.000521889402436423,-0.00432374982424555,-0.00378392990434344,-0.0157916844570264,0.000355055858827193,-0.000110742847112058,-5.53200454509354e-05,0.000809614133773393,4.36559576541293e-05,-0.00226708339387498,-0.00359542891745334,-0.000472365264597326,0.00763928001397747,0.00137748960731864,0.0010277783801512,0.00695702050472513,0.00125481811745191,0.001651622976785,-0.000355123088479504,0.000494063296351799,0.00126812335028763,0.00311412127077856,0.000160980807222578,1.03224887550809e-06,-0.000356014411766232,-4.3039008495367e-05,-0.00013020876454355,-0.000589245541197589,0.000117305263638413,-9.08597120972101e-05,-6.3039633520041e-05,0.000261563735812214,0.000463400016740934,0.00024006413249443
8,0.00938370994310336,-0.00189036860660816,-0.00701046980608253,-0.0115613760718491,-0.00333541293517468,-0.00217761783333736,0.00063178937758334,0.000173820269104856,-0.000462473733024044,0.000128023612100437,0.000160547149026829,-0.00138309375458782,-0.00393673105772751,9.91006462575054e-05,0.00659886155569391,0.0013805558251088,0.00119524135352254,0.00794182650866127,-0.00164141195581961,0.00126855673727581,0.000569850460565838,0.00246477503574014,0.000666564877251508,0.00402479790386095,0.00012138379283499,-6.22680995191481e-05,-0.000387062466204461,-3.71631647468748e-05,-0.000165375637575377,-0.000734590345695784,-6.75670729312394e-05,-0.000112422864331377,-9.70450511999292e-05,0.000363673514626979,0.000344979779629668,0.000143885929380869
9,-0.000659664475237185,-0.000531662942752782,-0.00890544251280927,-0.00462668467891461,-0.00189222175818946,-0.00165501163152168,0.000269367590936557,-0.000116341503927979,-0.000839078454151229,-0.000338722100040074,-6.54612113699118e-05,-0.000710034159610159,-0.00414570627285593,4.17341375374674e-05,0.00622428822731249,0.00159168946528377,0.00138073554772167,0.0077058282148248,-0.00319211866998394,-0.000109779284020458,0.00125757971876385,0.00269230449482184,-7.94179563785273e-05,0.000484526490842653,0.00025472813370706,-7.29188055404066e-07,-0.000457511929188488,-0.00017881431288997,-0.000136485339328584,-0.000475611881877165,-8.65491316610531e-05,-7.12894289724856e-05,-8.21280279454636e-05,0.000369378287344646,0.000316555014315781,1.83983510548346e-05
10,-0.00192438587782222,-0.000598404895510671,-0.00580326679422611,0.00160760103852443,-0.000247678984891665,-0.00718749227903533,-6.41658454888393e-05,-0.000285647860847445,-0.00095474858549417,-0.000159778479341656,-0.000205957990955938,-0.00117144838596086,-0.00352124453767805,6.72487648530686e-05,0.00630928764382552,0.00166406274319019,0.0016625780331455,0.00707138050645526,-0.000579833203773806,-8.20191052630364e-05,0.00130569231328039,0.000325331217196,0.000162737086428461,0.000505982948873138,0.000150065543142662,4.66537800979584e-05,-0.000511024469122552,-0.000214477324274222,-0.000115482189005548,-0.000163132790084822,-2.88844783880055e-05,-8.35071209460134e-06,-6.43331742599045e-05,0.000264583131535225,0.000321430192298173,0.000136680482600545
11,0.00173283869466322,0.00221067579794769,-0.00492865812734913,0.000843226953215616,0.00113128182633314,0.00183539101006567,0.000365645938723194,-1.90786600771171e-05,-0.000977915622806205,-0.000260852754658406,-1.52674292664911e-05,-0.000654790972910073,-0.00277468786538715,0.000171968231647353,0.00638252439202791,0.00169910892517973,0.00179983615986558,0.00673326121482155,0.000551126052612876,0.00027065212084665,0.00101125164412838,-0.00130489731983594,0.000418780768034137,0.00290217074740852,-5.34269442695869e-06,-2.65573645687909e-06,-0.000488039520874335,-0.000139909107097755,-0.000128018998574728,-0.0002067566690281,-6.47850818609813e-05,-4.578603299144e-05,-3.54566119261992e-05,0.000231159934987983,0.000246708514958534,0.000109153233697772
